Epoch: 0, Loss: 8.605e-01
Epoch: 1, Loss: 2.900e-01
Epoch: 2, Loss: 1.205e-01
Epoch: 3, Loss: 8.483e-02
Epoch: 4, Loss: 3.690e-02
Epoch: 5, Loss: 2.879e-02
Epoch: 6, Loss: 2.175e-02
Epoch: 7, Loss: 1.792e-02
Epoch: 8, Loss: 1.385e-02
Epoch: 9, Loss: 1.152e-02
Epoch: 10, Loss: 9.733e-03
Epoch: 11, Loss: 8.361e-03
Epoch: 12, Loss: 7.676e-03
Epoch: 13, Loss: 6.752e-03
Epoch: 14, Loss: 6.055e-03
Epoch: 15, Loss: 5.464e-03
Epoch: 16, Loss: 5.034e-03
Epoch: 17, Loss: 4.578e-03
Epoch: 18, Loss: 4.242e-03
Epoch: 19, Loss: 3.958e-03
Epoch: 20, Loss: 3.681e-03
Epoch: 21, Loss: 3.453e-03
Epoch: 22, Loss: 3.246e-03
Epoch: 23, Loss: 3.061e-03
Epoch: 24, Loss: 2.924e-03
Epoch: 25, Loss: 2.762e-03
Epoch: 26, Loss: 2.605e-03
Epoch: 27, Loss: 2.496e-03
Epoch: 28, Loss: 2.389e-03
Epoch: 29, Loss: 2.264e-03
Epoch: 30, Loss: 2.185e-03
Epoch: 31, Loss: 2.095e-03
Epoch: 32, Loss: 2.007e-03
Epoch: 33, Loss: 1.929e-03
Epoch: 34, Loss: 1.854e-03
Epoch: 35, Loss: 1.786e-03
Epoch: 36, Loss: 1.720e-03
Epoch: 37, Loss: 1.661e-03
Epoch: 38, Loss: 1.605e-03
Epoch: 39, Loss: 1.554e-03
Epoch: 40, Loss: 1.507e-03
Epoch: 41, Loss: 1.462e-03
Epoch: 42, Loss: 1.416e-03
Epoch: 43, Loss: 1.385e-03
Epoch: 44, Loss: 1.335e-03
Epoch: 45, Loss: 1.298e-03
Epoch: 46, Loss: 1.264e-03
Epoch: 47, Loss: 1.230e-03
Epoch: 48, Loss: 1.198e-03
Epoch: 49, Loss: 1.168e-03
Epoch: 50, Loss: 1.140e-03
Epoch: 51, Loss: 1.112e-03
Epoch: 52, Loss: 1.086e-03
Epoch: 53, Loss: 1.060e-03
Epoch: 54, Loss: 1.036e-03
Epoch: 55, Loss: 1.014e-03
Epoch: 56, Loss: 9.914e-04
Epoch: 57, Loss: 9.686e-04
Epoch: 58, Loss: 9.482e-04
Epoch: 59, Loss: 9.288e-04
Epoch: 60, Loss: 9.095e-04
Epoch: 61, Loss: 8.917e-04
Epoch: 62, Loss: 8.734e-04
Epoch: 63, Loss: 8.569e-04
Epoch: 64, Loss: 8.417e-04
Epoch: 65, Loss: 8.247e-04
Epoch: 66, Loss: 8.092e-04
Epoch: 67, Loss: 7.962e-04
Epoch: 68, Loss: 7.800e-04
Epoch: 69, Loss: 7.664e-04
Epoch: 70, Loss: 7.529e-04
Epoch: 71, Loss: 7.400e-04
Epoch: 72, Loss: 7.285e-04
Epoch: 73, Loss: 7.155e-04
Epoch: 74, Loss: 7.037e-04
Epoch: 75, Loss: 6.923e-04
Epoch: 76, Loss: 6.813e-04
Epoch: 77, Loss: 6.705e-04
Epoch: 78, Loss: 6.600e-04
Epoch: 79, Loss: 6.499e-04
Epoch: 80, Loss: 6.401e-04
Epoch: 81, Loss: 6.307e-04
Epoch: 82, Loss: 6.213e-04
Epoch: 83, Loss: 6.122e-04
Epoch: 84, Loss: 6.034e-04
Epoch: 85, Loss: 5.950e-04
Epoch: 86, Loss: 5.864e-04
Epoch: 87, Loss: 5.784e-04
Epoch: 88, Loss: 5.704e-04
Epoch: 89, Loss: 5.627e-04
Epoch: 90, Loss: 5.551e-04
Epoch: 91, Loss: 5.478e-04
Epoch: 92, Loss: 5.406e-04
Epoch: 93, Loss: 5.337e-04
Epoch: 94, Loss: 5.267e-04
Epoch: 95, Loss: 5.201e-04
Epoch: 96, Loss: 5.135e-04
Epoch: 97, Loss: 5.074e-04
Epoch: 98, Loss: 5.009e-04
Epoch: 99, Loss: 4.949e-04
3th instance got misclassified, expected: 6. But actual: 8
64th instance got misclassified, expected: 8. But actual: 9
Total instances: 105
Correctly classified: 103
