Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,1655.130005,1674.260010,1651.000000,1671.729980,1671.729980,4974900
2019-03-04,1685.000000,1709.430054,1674.359985,1696.170044,1696.170044,6167400
2019-03-05,1702.949951,1707.800049,1689.010010,1692.430054,1692.430054,3681500
2019-03-06,1695.969971,1697.750000,1668.280029,1668.949951,1668.949951,3996000
2019-03-07,1667.369995,1669.750000,1620.510010,1625.949951,1625.949951,4948100
2019-03-08,1604.010010,1622.719971,1586.569946,1620.800049,1620.800049,4667000
2019-03-11,1626.119995,1672.290039,1626.010010,1670.619995,1670.619995,3876400
2019-03-12,1669.000000,1684.270020,1660.979980,1673.099976,1673.099976,3614500
2019-03-13,1683.000000,1700.000000,1679.349976,1690.810059,1690.810059,3552000
2019-03-14,1691.199951,1702.000000,1684.339966,1686.219971,1686.219971,2946600
2019-03-15,1703.000000,1718.800049,1693.130005,1712.359985,1712.359985,7550900
2019-03-18,1712.699951,1750.000000,1712.630005,1742.150024,1742.150024,5429100
2019-03-19,1753.510010,1784.160034,1753.510010,1761.849976,1761.849976,6364200
2019-03-20,1769.939941,1799.500000,1767.030029,1797.270020,1797.270020,6265600
2019-03-21,1796.260010,1823.750000,1787.280029,1819.260010,1819.260010,5767800
2019-03-22,1810.170044,1818.979980,1763.109985,1764.770020,1764.770020,6363000
2019-03-25,1757.790039,1782.680054,1747.500000,1774.260010,1774.260010,5103800
2019-03-26,1793.000000,1805.770020,1773.359985,1783.760010,1783.760010,4865900
2019-03-27,1784.130005,1787.500000,1745.680054,1765.699951,1765.699951,4324800
2019-03-28,1770.000000,1777.930054,1753.469971,1773.420044,1773.420044,3043000
2019-03-29,1786.579956,1792.859985,1776.630005,1780.750000,1780.750000,3320800
